0	10	20	30	40	50	60	70	80	90	100
24214.9	19706.7	5366.08	1585.85	2072.94	1972.16	1875.28	1812.55	2314.95	1402.89	1192.44
30648.7	23050	6510.64	2551.44	997.938	1999.52	3331.81	3108.16	3916.52	1966.32	1929.96
40938.7	27233.6	6342.99	2255.29	978.741	3083.22	3790.45	3417.01	4928.2	2108.39	2446.79
-7053.49	-7374.39	-5395.29	-2307.79	-2297.27	-2229.55	-611.892	484.871	-707.651	2189.94	9650.7
-7798.15	-7726.36	-5044.14	-2537.67	-2760.46	-2739.12	-732.161	414.622	-257.546	5885.21	14125.1
-8566.29	-7915.53	-6389.37	-3594.34	-3275.9	-2584.79	-212.303	41.353	415.258	9280.78	15953.5
										
										
										
										
										
										
										
										
										
										
