0	Upper	Middle	Lower
7.63E-11	2.22765	3.3402	27.4338
1.11374	2.25427	3.40643	27.5554
2.22313	2.28551	3.4978	27.7176
3.88291	2.33541	3.6716	28.0368
6.36788	2.39949	4.00137	28.6811
10.0823	2.43528	4.64434	30.0672
15.598	2.38654	6.02727	33.3483
23.6811	2.19045	9.53406	42.016
35.1363	2.38279	20.4242	66.6795
37.9157	2.69646	23.5879	73.4885
40.6299	3.18779	27.0032	80.7421
44.5712	4.41072	32.3144	92.1343
50.2025	7.29071	40.3903	109.312
52.2621	8.53214	43.3408	115.517
55.2632	10.6607	47.6921	124.354
56.3711	11.4854	49.3094	127.595
58.003	12.775	51.7271	132.347
60.3918	14.8034	55.3622	139.298
63.8569	18.0245	60.8375	149.423
65.1339	19.2394	62.8789	153.146
67.016	21.0814	65.9238	158.599
69.7742	23.9091	70.4663	166.501
70.7943	24.9585	72.1561	169.409
72.3045	26.5248	74.6677	173.669
74.5254	28.865	78.3821	179.846
77.7614	32.3111	83.7969	188.65
78.9465	33.5477	85.7792	191.864
80.6904	35.3182	88.6605	196.52
83.2347	37.6973	92.7771	203.254
86.8972	40.7332	98.5542	212.94
88.2289	41.7035	100.627	216.498
90.1765	42.9123	103.636	221.767
93.0087	44.2125	107.973	229.598
94.0433	44.5758	109.55	232.51
95.5605	44.9036	111.843	236.859
97.7686	45.0549	115.146	243.341
100.914	44.5448	119.813	253.002
102.05	44.1644	121.467	256.578
103.71	43.3254	123.861	261.961
106.082	41.709	127.31	270.009
106.936	41.0196	128.558	272.996
108.182	39.8773	130.382	277.46
109.967	38.0054	133.029	284.087
111.657	36.0169	135.579	290.588
113.257	33.8678	138.029	296.963
115.485	30.415	141.501	306.124
118.414	25.1198	146.316	318.649
121.969	17.278	152.812	335.464
125.697	6.03609	160.949	354.461
128.097	-3.03984	166.72	364.329
129.859	-10.0325	171.367	365.961
130.234	-11.6135	172.529	365.914
130.369	-12.1865	172.96	365.886
130.584	-12.9991	173.655	365.845
130.887	-14.095	174.733	365.783
131.274	-15.6113	176.171	365.671
131.805	-17.5899	178.372	365.399
131.963	-18.1958	179.2	365.276
132.069	-18.6319	180.217	365.081
132.227	-18.3111	181.327	364.799
132.341	-18.1534	181.661	364.706
132.49	-17.8292	181.996	364.611
