0	Upper	Middle	Lower
7.63054E-11	2.06374	1.22314	27.6919
1.11374	2.07602	1.21086	27.7446
2.22313	2.09396	1.21703	27.8289
3.88291	2.12422	1.25326	28.0167
6.36788	2.15299	1.35528	28.4442
10.0823	2.13045	1.61058	29.4566
15.598	1.98879	2.31426	32.0764
23.6811	1.62836	4.50829	39.5799
35.1363	1.93133	13.1975	63.191
37.9157	2.42398	15.9099	69.8566
40.6299	3.29223	18.9096	77.034
44.5712	5.43926	23.6994	88.3378
50.2025	10.1916	31.1351	105.224
52.2621	12.1309	33.8766	111.337
55.2632	15.2143	37.9539	120.124
56.3711	16.3758	39.4707	123.355
58.003	18.1363	41.7445	128.117
60.3918	20.8167	45.1673	135.108
63.8569	24.8549	50.2784	145.259
65.1339	26.3326	52.1726	148.989
67.016	28.5215	54.9866	154.426
69.7742	31.7395	59.1408	162.25
70.7943	32.9065	60.6758	165.126
72.3045	34.5957	62.9345	169.324
74.5254	36.9771	66.2258	175.415
77.7614	40.0188	70.8793	184.227
78.9465	41.0381	72.5545	187.457
80.6904	42.3987	74.9594	192.174
83.2347	44.1259	78.403	199.052
86.8972	46.0457	83.2513	209.025
88.2289	46.5497	84.9773	212.704
90.1765	47.0111	87.4523	218.174
93.0087	47.1771	90.9523	226.279
94.0433	47.1029	92.2124	229.305
95.5605	46.7818	94.0308	233.84
97.7686	45.8966	96.6221	240.648
100.914	43.8671	100.298	250.942
102.05	42.971	101.64	254.817
103.71	41.4361	103.581	260.63
106.082	38.7972	106.344	269.349
106.936	37.7489	107.352	272.606
108.182	36.1048	108.831	277.42
109.967	33.5394	110.973	284.468
111.657	30.9188	113.043	291.178
113.257	28.2679	115.042	297.576
115.485	24.2817	117.918	306.544
118.414	18.4554	122.067	319.086
121.969	10.0056	128.019	336.6
125.697	-1.47229	135.246	356.191
128.097	-11.1364	140.542	362.101
129.859	-18.3467	144.565	365.605
130.234	-19.9877	145.556	366.49
130.369	-20.5826	145.93	366.821
130.584	-21.4176	146.52	367.315
130.887	-22.5512	147.549	368.041
131.274	-24.1399	148.903	368.551
131.805	-25.7875	150.697	368.586
131.963	-26.1392	151.411	368.434
132.069	-25.9114	152.426	368.187
132.227	-24.4536	153.425	367.967
132.341	-24.0721	153.67	367.843
132.49	-23.41	153.986	367.448
